chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,playername
NA,NA,54694,0,0,-1,1,2,4,5.5,5.5,0,Pierre-Emerick,5.0,11,TRUE,,NA,109,54694.jpg,6.2,Aubameyang,23.9,FALSE,NA,a,1,3,87,1413272,4642,1594261,2403,0.5,8.0,Aubameyang,1260,10,2,2,21,0,0,0,2,0,0,15,332,426.2,211.0,551.0,118.7,Pierre-Emerick Aubameyang
100,100,59966,0,0,-2,2,1,4,4.5,4.5,0,Alexandre,4.0,12,FALSE,,2019-09-01T18:30:14.246208Z,93,59966.jpg,4.4,Lacazette,2.5,FALSE,NA,a,1,3,40,179399,523,258893,992,0.4,4.3,Lacazette,585,4,2,0,11,0,0,0,2,0,0,5,131,199.6,133.4,384.0,71.8,Alexandre Lacazette
0,0,205533,0,0,-2,2,0,4,0.0,0.0,0,Edward,0.0,13,FALSE,Joined Leeds United on loan until the end of the season on 8/8. - Expected back 01 Jul,2019-08-08T15:30:15.638344Z,43,205533.jpg,0.0,Nketiah,0.7,FALSE,NA,n,1,3,0,44457,123,105087,143,0.0,0.0,Nketiah,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Edward Nketiah
NA,NA,80201,0,0,0,0,0,1,4.0,4.0,0,Bernd,3.5,14,FALSE,,NA,50,80201.jpg,3.4,Leno,6.0,FALSE,NA,a,1,3,48,339822,485,334298,835,0.7,9.6,Leno,1260,0,0,2,21,0,1,0,2,0,59,3,276,423.0,0.0,0.0,42.2,Bernd Leno
100,100,37605,0,0,-3,3,0,3,3.0,3.0,0,Mesut,2.5,15,FALSE,,2019-08-09T17:00:13.419733Z,72,37605.jpg,2.8,Özil,0.9,FALSE,NA,a,1,3,14,42693,288,100046,170,0.3,1.9,Özil,428,0,1,0,8,0,0,0,0,0,0,1,83,64.8,224.3,76.0,36.5,Mesut Özil
0,0,57249,0,0,-2,2,0,3,0.0,0.0,0,Henrikh,0.0,16,FALSE,Joined Roma on loan until the end of the season on 2/9. - Expected back 01 Jul,2019-09-02T23:30:14.832021Z,68,57249.jpg,1.3,Mkhitaryan,0.8,FALSE,NA,n,1,3,4,22676,1,113531,27,0.0,0.6,Mkhitaryan,110,0,0,1,0,0,0,0,1,0,0,0,3,5.4,33.9,46.0,8.6,Henrikh Mkhitaryan
100,100,84450,0,0,-3,3,0,3,1.0,1.0,0,Granit,0.5,18,FALSE,,2019-09-08T21:00:18.761460Z,52,84450.jpg,2.1,Xhaka,0.7,FALSE,NA,a,1,3,21,31236,27,94423,70,0.1,4.0,Xhaka,829,0,1,2,15,0,0,0,4,0,0,0,118,160.2,108.4,46.0,31.5,Granit Xhaka
100,100,198849,0,0,-3,3,0,3,1.5,1.5,0,Lucas,1.0,19,FALSE,,2019-09-08T21:00:18.773636Z,47,198849.jpg,1.8,Torreira,1.2,FALSE,NA,a,1,3,20,59093,57,125382,218,0.2,4.3,Torreira,453,1,0,1,8,0,0,0,1,0,0,0,78,100.6,74.2,142.0,31.8,Lucas Torreira
0,0,153256,0,0,-2,2,0,3,0.0,0.0,0,Mohamed,0.0,20,FALSE,Joined Besiktas on loan until the end of the season on 31/8. - Expected back 01 Jul,2019-08-31T11:30:14.714406Z,43,153256.jpg,0.0,Elneny,0.9,FALSE,NA,n,1,3,0,111397,215,83374,336,0.0,0.0,Elneny,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Mohamed Elneny
NA,NA,242166,0,0,1,-1,0,3,1.7,1.7,0,Matteo,1.2,21,FALSE,,NA,46,242166.jpg,2.4,Guendouzi,8.8,FALSE,NA,a,1,3,34,800833,359,603715,2844,0.3,7.4,Guendouzi,1218,0,2,2,20,0,0,0,4,0,0,2,207,267.4,213.6,126.0,60.8,Matteo Guendouzi
100,100,41270,0,0,-2,2,1,2,1.3,1.3,0,David,0.8,106,FALSE,,2019-11-28T23:00:21.861570Z,58,41270.jpg,2.7,Luiz Moreira Marinho,5.4,FALSE,NA,a,1,3,35,146405,154,417272,759,0.1,6.0,David Luiz,1170,2,0,1,21,0,0,0,2,0,0,3,209,334.2,55.2,116.0,50.6,David Luiz Moreira Marinho
NA,NA,98980,0,0,-1,1,0,1,0.5,0.5,0,Emiliano,0.0,427,FALSE,,NA,44,98980.jpg,0.0,Martínez,0.3,FALSE,NA,a,1,3,0,4204,5,11044,24,0.0,0.0,Martínez,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Emiliano Martínez
NA,NA,101184,0,0,-1,1,0,2,1.0,1.0,0,Calum,0.5,467,FALSE,,NA,44,101184.jpg,2.7,Chambers,1.5,FALSE,NA,a,1,3,27,132863,119,97521,546,0.1,6.1,Chambers,810,1,0,2,11,0,0,0,4,0,0,2,127,175.4,92.2,193.0,45.9,Calum Chambers
0,0,182539,0,0,-2,2,1,3,0.0,0.0,0,Daniel,0.0,469,FALSE,Hamstring injury - Expected back 21 Dec,2019-11-06T17:30:16.584319Z,53,182539.jpg,2.5,Ceballos Fernández,3.9,FALSE,NA,i,1,3,27,994998,2,1077284,1337,0.0,5.1,Ceballos,659,0,2,1,10,0,0,0,0,0,0,3,130,150.0,183.0,96.0,42.9,Daniel Ceballos Fernández
100,100,195735,0,0,-4,4,0,3,0.7,0.7,0,Nicolas,0.2,488,FALSE,,2019-08-09T09:30:12.533555Z,91,195735.jpg,2.7,Pépé,2.4,FALSE,NA,a,1,3,32,208147,37,413146,502,0.0,3.5,Pépé,784,1,2,1,14,0,0,0,2,0,0,2,117,180.8,282.0,267.0,73.2,Nicolas Pépé
100,100,200641,0,0,-2,2,0,3,0.5,0.5,0,Reiss,0.0,489,FALSE,,2019-10-07T15:00:21.389844Z,53,200641.jpg,1.2,Nelson,0.1,FALSE,NA,a,1,3,5,7538,3,13746,7,0.0,0.9,Nelson,150,0,0,1,2,0,0,0,1,0,0,0,15,27.2,50.3,67.0,14.5,Reiss Nelson
100,100,200089,0,0,-1,1,0,3,1.5,1.5,0,Joseph,1.0,490,FALSE,,2019-09-07T11:30:17.190466Z,49,200089.jpg,1.5,Willock,0.2,FALSE,NA,a,1,3,16,23536,16,26889,35,0.2,3.3,Willock,437,0,0,1,8,0,0,0,0,0,0,0,74,67.8,95.0,99.0,26.3,Joseph Willock
NA,NA,444145,0,0,0,0,0,4,1.7,1.7,0,Gabriel Teodoro,1.2,504,FALSE,,NA,45,444145.jpg,1.3,Martinelli Silva,1.6,FALSE,NA,a,1,3,8,158830,317,142560,381,0.3,1.8,Martinelli,83,0,1,0,1,0,0,0,1,0,0,0,17,8.0,5.5,20.0,3.3,Gabriel Teodoro Martinelli Silva
100,100,192895,0,0,-1,1,0,2,0.5,0.5,0,Kieran,0.0,515,FALSE,,2019-08-09T12:00:11.271398Z,54,192895.jpg,1.0,Tierney,0.8,FALSE,NA,a,1,3,3,71024,67,71889,333,0.0,0.6,Tierney,250,0,0,0,5,0,0,0,1,0,0,0,39,44.2,55.2,31.0,13.1,Kieran Tierney
100,100,223340,0,0,0,0,0,3,0.7,0.7,0,Bukayo,0.2,541,FALSE,,2019-11-22T10:00:21.980433Z,45,223340.jpg,1.9,Saka,0.7,FALSE,NA,a,1,3,13,114809,71,69779,387,0.0,2.9,Saka,354,0,1,1,4,0,0,0,1,0,0,0,44,68.4,96.2,94.0,26.0,Bukayo Saka
NA,NA,37339,0,0,-3,3,0,2,-1.0,-1.0,0,Ahmed,0.0,22,FALSE,,NA,42,37339.jpg,1.2,El Mohamady,0.9,FALSE,NA,a,2,7,7,42310,38,117703,145,0.0,1.7,El Mohamady,251,0,0,0,9,0,0,0,0,0,0,3,59,70.6,88.3,2.0,16.1,Ahmed El Mohamady
100,100,43252,0,0,-2,2,0,2,-1.0,-1.0,0,James,0.0,23,FALSE,,2019-08-08T17:00:13.859858Z,43,43252.jpg,0.0,Chester,0.1,FALSE,NA,a,2,7,0,803,9,6294,7,0.0,0.0,Chester,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,James Chester
NA,NA,47390,0,0,-1,1,0,2,-0.8,-0.8,0,Neil,0.2,24,FALSE,,NA,44,47390.jpg,2.1,Taylor,0.3,FALSE,NA,a,2,7,17,17703,14,20884,50,0.0,3.9,Taylor,613,0,0,2,12,0,0,0,1,0,0,0,98,99.8,28.5,27.0,15.6,Neil Taylor
100,100,123354,0,0,-1,1,0,2,-1.0,-1.0,0,Kortney,0.0,25,FALSE,,2019-08-15T13:00:13.496241Z,44,123354.jpg,0.0,Hause,0.1,FALSE,NA,a,2,7,0,721,2,3628,7,0.0,0.0,Hause,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Kortney Hause
100,100,54764,0,0,-1,1,0,4,-1.0,-1.0,0,Jonathan,0.0,26,FALSE,,2019-10-03T12:30:10.314025Z,54,54764.jpg,1.0,Kodjia,0.1,FALSE,NA,a,2,7,2,3040,8,25414,11,0.0,0.4,Kodjia,20,0,0,0,4,0,0,0,0,0,0,0,7,2.0,0.0,2.0,0.4,Jonathan Kodjia
100,100,98770,0,0,-2,2,0,1,-0.5,-0.5,0,Ørjan,0.5,27,FALSE,,2019-07-30T15:00:08.973693Z,43,98770.jpg,2.0,Nyland,0.2,FALSE,NA,a,2,7,2,3545,10,8371,14,0.1,0.5,Nyland,82,0,0,0,2,0,0,0,0,0,3,0,13,22.8,0.0,0.0,2.3,Ørjan Nyland
NA,NA,85242,0,0,-3,3,2,3,3.0,3.0,0,Conor,4.0,28,FALSE,,NA,57,85242.jpg,3.9,Hourihane,0.2,FALSE,NA,a,2,7,35,9129,109,17692,42,0.7,6.1,Hourihane,521,2,2,2,9,0,0,0,2,0,0,4,131,159.4,163.2,149.0,47.1,Conor Hourihane
100,100,114283,0,0,-1,1,1,3,2.8,2.8,0,Jack,3.8,29,FALSE,,2019-10-26T18:30:22.524063Z,59,114283.jpg,4.8,Grealish,4.8,FALSE,NA,a,2,7,58,325363,6215,385838,315,0.6,9.8,Grealish,1073,3,4,3,18,0,0,0,3,0,0,7,241,366.6,415.0,290.0,107.3,Jack Grealish
0,0,193488,0,0,0,0,0,3,0.0,0.0,0,Anwar,3.5,30,FALSE,Knee injury - Expected back 08 Dec,2019-12-01T18:30:17.584307Z,55,193488.jpg,4.0,El Ghazi,1.4,FALSE,NA,i,2,7,52,191355,73,132586,2192,0.6,9.5,El Ghazi,852,3,4,3,14,0,0,0,1,0,0,0,173,269.6,221.6,339.0,82.9,Anwar El Ghazi
NA,NA,122806,0,0,4,-4,0,3,0.8,0.8,0,John,1.8,31,FALSE,,NA,59,122806.jpg,3.9,McGinn,10.6,FALSE,NA,a,2,7,55,1245305,387,737732,4225,0.3,9.3,McGinn,1260,3,2,3,22,0,0,0,1,0,0,4,208,341.6,281.1,364.0,98.6,John McGinn
0,0,174597,0,0,-1,1,0,3,0.0,0.0,0,Andre,0.0,32,FALSE,Joined Preston North End on loan until the end of the season on 1/8. - Expected back 01 Jul,2019-08-04T16:30:15.274646Z,49,174597.jpg,0.0,Green,0.0,FALSE,NA,n,2,7,0,237,0,1245,2,0.0,0.0,Green,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Andre Green
0,0,27770,0,0,0,0,0,3,0.0,0.0,0,Birkir,0.0,33,FALSE,Left Aston Villa by mutual consent on 8/8.,2019-08-08T15:30:15.672945Z,45,27770.jpg,0.0,Bjarnason,0.0,FALSE,NA,u,2,7,0,511,0,7112,6,0.0,0.0,Bjarnason,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Birkir Bjarnason
0,0,221239,0,0,-1,1,0,3,0.0,0.0,0,Keinan,0.0,34,FALSE,Hamstring injury - Expected back 14 Dec,2019-10-30T23:30:12.401435Z,44,221239.jpg,1.0,Davis,0.2,FALSE,NA,i,2,7,6,13280,4,24132,45,0.0,1.4,Davis,74,0,0,0,1,0,0,0,0,0,0,0,16,14.4,23.3,46.0,8.2,Keinan Davis
100,100,40564,0,0,-1,1,0,3,-0.2,-0.2,0,Henri,0.8,35,FALSE,,2019-11-08T18:00:15.526636Z,44,40564.jpg,1.0,Lansbury,0.6,FALSE,NA,a,2,7,5,67118,29,51358,118,0.2,1.1,Lansbury,40,0,0,0,1,0,0,0,0,0,0,0,14,6.4,22.0,5.0,3.5,Henri Lansbury
100,100,89274,0,0,-2,2,0,3,-1.0,-1.0,0,José Ignacio,0.0,36,FALSE,,2019-10-17T13:00:14.384046Z,58,89274.jpg,2.4,Peleteiro Romallo,0.1,FALSE,NA,a,2,7,12,10794,11,23771,8,0.0,2.1,Jota,245,0,1,2,3,0,0,0,0,0,0,0,32,41.8,53.7,21.0,11.6,José Ignacio Peleteiro Romallo
100,100,21205,0,0,0,0,0,1,0.8,0.8,0,Tom,1.8,94,FALSE,,2019-11-10T16:00:17.137818Z,45,21205.jpg,2.9,Heaton,5.3,FALSE,NA,a,2,7,38,233236,317,281361,541,0.4,8.4,Heaton,1170,0,0,3,20,1,0,0,0,0,42,0,223,314.8,0.0,0.0,31.3,Tom Heaton
100,100,169359,0,0,-1,1,1,2,2.8,2.8,0,Matt,3.8,309,FALSE,,2019-11-11T12:00:14.805770Z,44,169359.jpg,5.1,Targett,0.9,FALSE,NA,a,2,7,41,54807,1237,72927,149,0.9,9.3,Targett,646,1,2,2,10,0,0,0,0,0,0,9,192,218.6,164.8,26.0,41.0,Matt Targett
100,100,213345,0,0,-1,1,1,4,0.2,0.2,0,Wesley,1.2,428,FALSE,,2019-10-19T19:00:18.658995Z,59,213345.jpg,3.6,Moraes,2.0,FALSE,NA,a,2,7,51,373164,289,320470,1103,0.2,8.6,Wesley,1194,4,1,4,18,0,0,1,1,0,0,7,139,229.2,106.2,469.0,79.1,Wesley Moraes
0,0,79852,0,0,-1,1,0,1,0.0,0.0,0,Jed,0.2,429,FALSE,Achilles injury - Unknown return date,2019-11-10T16:00:17.790777Z,44,79852.jpg,1.0,Steer,0.1,FALSE,NA,i,2,7,1,979,0,5226,13,0.0,0.2,Steer,7,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,Jed Steer
NA,NA,149484,0,0,0,0,0,2,2.2,2.2,0,Tyrone,3.2,445,FALSE,,NA,45,149484.jpg,3.0,Mings,5.0,FALSE,NA,a,2,7,42,444699,1197,255340,463,0.7,9.3,Mings,1260,1,1,3,22,0,0,0,2,0,0,3,262,386.6,60.1,35.0,48.3,Tyrone Mings
100,100,199798,0,0,-2,2,0,2,1.0,1.0,0,Ezri,2.0,452,FALSE,,2019-08-05T15:00:10.970602Z,43,199798.jpg,2.2,Konsa Ngoyo,0.1,FALSE,NA,a,2,7,9,1400,21,3368,5,0.5,2.1,Konsa,285,0,0,1,5,0,0,0,0,0,0,0,50,55.6,12.0,17.0,8.5,Ezri Konsa Ngoyo
100,100,108156,0,0,0,0,1,2,-1.0,-1.0,0,Bjorn,0.0,455,FALSE,,2019-11-26T01:30:25.806514Z,45,108156.jpg,2.8,Engels,0.7,FALSE,NA,a,2,7,31,91074,7,63563,192,0.0,6.9,Engels,974,0,0,3,17,0,0,0,1,0,0,4,172,205.6,5.2,19.0,23.2,Bjorn Engels
0,0,203368,0,0,-1,1,1,2,0.0,0.0,0,Frédéric,2.0,458,FALSE,Suspended until 08 Dec,2019-12-01T19:30:19.368861Z,44,203368.jpg,3.2,Guilbert,0.8,FALSE,NA,s,2,7,38,76562,28,58054,565,0.5,8.6,Guilbert,1052,0,2,4,15,0,0,0,5,0,0,2,191,243.2,128.2,33.0,40.4,Frédéric Guilbert
100,100,148508,0,0,-3,3,0,3,1.5,1.5,0,Mahmoud Ahmed,2.5,465,FALSE,,2019-08-31T16:30:09.941826Z,52,148508.jpg,2.4,Ibrahim Hassan,1.4,FALSE,NA,a,2,7,29,104071,244,210882,363,0.5,5.6,Trézéguet,764,2,1,1,15,0,0,0,2,1,0,1,82,187.4,121.5,347.0,65.5,Mahmoud Ahmed Ibrahim Hassan
NA,NA,230046,0,0,0,0,0,3,0.8,0.8,0,Douglas Luiz,1.8,470,FALSE,,NA,45,230046.jpg,2.9,Soares de Paulo,4.0,FALSE,NA,a,2,7,35,529841,682,338269,1170,0.4,7.8,Douglas Luiz,725,2,0,4,12,0,0,0,1,0,0,2,145,160.4,59.2,110.0,33.1,Douglas Luiz Soares de Paulo
NA,NA,88175,0,0,-1,1,0,1,-1.0,-1.0,0,Lovre,0.0,474,FALSE,,NA,44,88175.jpg,0.0,Kalinic,0.1,FALSE,NA,a,2,7,0,1131,4,3655,6,0.0,0.0,Kalinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Lovre Kalinic
NA,NA,184704,0,0,-1,1,0,3,-0.8,-0.8,0,Marvelous,0.2,491,FALSE,,NA,44,184704.jpg,2.0,Nakamba,1.2,FALSE,NA,a,2,7,16,120606,50,68082,354,0.0,3.6,Nakamba,682,0,0,1,13,0,0,0,1,0,0,0,119,153.8,75.0,18.0,24.8,Marvelous Nakamba
25,100,56917,0,0,0,0,2,2,0.4,2.8,0,Steve,2.8,58,FALSE,Wrist Injury - 25% chance of playing,2019-12-03T21:30:11.928847Z,50,56917.jpg,3.1,Cook,0.5,FALSE,NA,d,3,91,43,34468,18,22517,891,0.6,8.6,Steve Cook,1260,1,0,3,20,0,0,0,2,0,0,5,242,355.2,35.1,105.0,49.7,Steve Cook
NA,NA,126184,0,0,1,-1,0,2,0.2,1.2,2,Nathan,1.2,59,FALSE,,NA,51,126184.jpg,3.3,Aké,13.7,FALSE,NA,a,3,91,49,495855,528,737385,4130,0.2,9.6,Aké,1350,1,1,3,21,0,0,0,1,0,0,5,285,346.8,64.2,169.0,57.9,Nathan Aké
0,0,41320,0,0,-2,2,0,2,0.0,0.0,0,Charlie,0.0,60,FALSE,Knee injury - Unknown return date,2019-08-25T15:30:14.994228Z,43,41320.jpg,1.5,Daniels,0.1,FALSE,NA,i,3,91,3,3122,1,16017,10,0.0,0.7,Daniels,126,0,0,0,2,0,0,0,0,0,0,0,18,22.4,29.6,0.0,5.2,Charlie Daniels
100,100,223911,0,0,-2,2,1,2,-0.5,0.5,2,Chris,0.5,61,FALSE,,2019-10-04T11:30:13.479244Z,43,223911.jpg,3.0,Mepham,0.8,FALSE,NA,a,3,91,15,84712,12,99577,78,0.1,3.5,Mepham,361,1,0,0,8,0,0,0,0,0,0,2,65,116.4,3.9,93.0,21.3,Chris Mepham
100,100,15149,0,0,-1,1,0,2,-1.2,-0.2,1,Simon,-0.2,62,FALSE,,2019-11-23T17:00:22.119134Z,44,15149.jpg,0.2,Francis,0.0,FALSE,NA,a,3,91,1,1048,5,1088,8,0.0,0.2,Francis,98,0,0,0,3,0,0,0,0,1,0,0,14,28.0,22.9,36.0,8.7,Simon Francis
75,75,54469,0,0,-2,2,2,2,0.0,0.8,2,Adam,1.0,63,FALSE,Ankle injury - 75% chance of playing,2019-11-30T15:00:18.860871Z,43,54469.jpg,3.2,Smith,0.9,FALSE,NA,d,3,91,32,58612,29,96777,511,0.2,7.4,Adam Smith,837,0,1,3,12,0,0,0,2,0,0,3,163,128.4,74.4,73.0,27.6,Adam Smith
25,25,235530,0,0,-1,1,0,2,-0.2,0.0,0,Lloyd,0.0,64,FALSE,Thigh injury - 25% chance of playing,2019-11-11T23:30:19.870065Z,44,235530.jpg,0.0,Kelly,0.1,FALSE,NA,d,3,91,0,3462,4,6798,33,0.0,0.0,Kelly,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Lloyd Kelly
NA,NA,171129,0,0,3,-3,1,2,1.5,2.5,9,Diego,2.5,65,FALSE,,NA,43,171129.jpg,3.6,Rico,13.4,FALSE,NA,a,3,91,43,940997,2281,394184,1715,0.6,10.0,Rico,1028,0,2,4,13,0,0,0,4,0,0,5,214,266.2,314.6,48.0,63.1,Diego Rico
NA,NA,222434,0,0,-1,1,0,2,-1.0,0.0,0,Jack,0.0,66,FALSE,,NA,39,222434.jpg,0.0,Simpson,6.5,FALSE,NA,a,3,91,0,187480,1189,282574,712,0.0,0.0,Simpson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Jack Simpson
NA,NA,75115,0,0,-4,4,1,4,1.0,2.0,2,Callum,2.0,67,FALSE,,NA,76,75115.jpg,4.0,Wilson,7.1,FALSE,NA,a,3,91,60,734472,500,1424425,3925,0.3,7.9,Callum Wilson,1310,5,3,3,21,0,0,0,3,0,0,4,190,233.4,217.0,363.0,81.0,Callum Wilson
0,0,78007,0,0,-3,3,1,4,0.0,0.0,0,Joshua,0.5,68,FALSE,Hamstring injury - Unknown return date,2019-11-18T23:00:14.125607Z,62,78007.jpg,4.2,King,4.9,FALSE,NA,i,3,91,50,603998,12,1541637,3751,0.1,8.1,King,1006,3,3,2,15,0,0,0,0,0,0,6,161,248.4,215.1,249.0,71.3,Joshua King
100,100,154566,0,0,-2,2,0,4,0.0,1.0,1,Dominic,1.0,69,FALSE,,2019-11-24T12:00:21.142150Z,53,154566.jpg,1.5,Solanke,0.4,FALSE,NA,a,3,91,19,23637,40,41305,64,0.2,3.6,Solanke,661,0,0,1,10,0,0,0,1,0,0,0,34,52.0,116.3,243.0,41.0,Dominic Solanke
0,0,217331,0,0,-1,1,0,4,0.0,0.0,0,Sam,0.0,71,FALSE,Joined Swansea City on loan until the end of the season on 6/8. - Expected back 01 Jul,2019-08-07T20:00:14.104634Z,44,217331.jpg,0.0,Surridge,0.5,FALSE,NA,n,3,91,0,40529,6,68681,100,0.0,0.0,Surridge,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Sam Surridge
0,0,40349,0,0,-2,2,0,1,0.0,0.0,0,Asmir,0.0,72,FALSE,Joined Qarabag on loan until January on 2/9. - Expected back 01 Feb,2019-09-02T17:00:12.309749Z,43,40349.jpg,0.0,Begovic,0.9,FALSE,NA,n,3,91,0,11653,2,143860,83,0.0,0.0,Begovic,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Asmir Begovic
NA,NA,18726,0,0,-2,2,0,1,-1.0,0.0,0,Artur,0.0,73,FALSE,,NA,43,18726.jpg,0.0,Boruc,0.3,FALSE,NA,a,3,91,0,5817,5,16865,28,0.0,0.0,Boruc,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Artur Boruc
NA,NA,229600,0,0,-2,2,0,1,-1.0,0.0,0,Mark,0.0,74,FALSE,,NA,43,229600.jpg,0.0,Travers,0.2,FALSE,NA,a,3,91,0,2416,1,10497,11,0.0,0.0,Travers,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Mark Travers
